date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:49	95968/95968	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:36:43%20GMT	https://data.themeim.com/html/tutorgo/	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/index.html	(from )
10:15:49	31/31	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Feb%202023%2007:00:22%20GMT	https://data.themeim.com/robots.txt		(from )
10:15:49	2390/2390	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Feb%202023%2021:51:08%20GMT	https://data.themeim.com/html/tutorgo/assets/img/logo/favicon.png	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/img/logo/favicon.png	(from https://data.themeim.com/html/tutorgo/)
10:15:50	163832/163832	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/bootstrap.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/bootstrap.css	(from https://data.themeim.com/html/tutorgo/)
10:15:50	2867/2867	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/meanmenu.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/meanmenu.css	(from https://data.themeim.com/html/tutorgo/)
10:15:51	71740/71740	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/animate.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/animate.css	(from https://data.themeim.com/html/tutorgo/)
10:15:51	1895/1895	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/slick.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/slick.css	(from https://data.themeim.com/html/tutorgo/)
10:15:51	7302/7302	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/magnific-popup.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/magnific-popup.css	(from https://data.themeim.com/html/tutorgo/)
10:15:52	3540/3540	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/nice-select.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/nice-select.css	(from https://data.themeim.com/html/tutorgo/)
10:15:53	465644/465644	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/font-awesome-pro.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/font-awesome-pro.css	(from https://data.themeim.com/html/tutorgo/)
10:15:53	26411/26411	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/elegent-icons.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/elegent-icons.css	(from https://data.themeim.com/html/tutorgo/)
10:15:54	8364/8364	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/spacing.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/spacing.css	(from https://data.themeim.com/html/tutorgo/)
10:15:54	216773/216773	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/assets/css/main.css	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/css/main.css	(from https://data.themeim.com/html/tutorgo/)
10:15:54	95968/95968	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:36:43%20GMT	https://data.themeim.com/html/tutorgo/index.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/index.html	(from https://data.themeim.com/html/tutorgo/)
10:15:55	6451/6451	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Feb%202023%2021:51:08%20GMT	https://data.themeim.com/html/tutorgo/assets/img/logo/white-logo.png	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/assets/img/logo/white-logo.png	(from https://data.themeim.com/html/tutorgo/)
10:15:55	58863/58863	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:37:36%20GMT	https://data.themeim.com/html/tutorgo/index.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/index-3.html	(from https://data.themeim.com/html/tutorgo/)
10:15:55	59257/59257	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:38:13%20GMT	https://data.themeim.com/html/tutorgo/index-3.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/index-4.html	(from https://data.themeim.com/html/tutorgo/)
10:15:56	28592/28592	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:38:54%20GMT	https://data.themeim.com/html/tutorgo/about-us.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/about-us.html	(from https://data.themeim.com/html/tutorgo/)
10:15:56	56021/56021	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:45:21%20GMT	https://data.themeim.com/html/tutorgo/course.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/course.html	(from https://data.themeim.com/html/tutorgo/)
10:15:56	56034/56034	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:40:14%20GMT	https://data.themeim.com/html/tutorgo/course-list.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/course-list.html	(from https://data.themeim.com/html/tutorgo/)
10:15:57	75571/75571	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:40:30%20GMT	https://data.themeim.com/html/tutorgo/course-details.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/course-details.html	(from https://data.themeim.com/html/tutorgo/)
10:15:57	22377/22377	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:41:25%20GMT	https://data.themeim.com/html/tutorgo/cart.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/cart.html	(from https://data.themeim.com/html/tutorgo/)
10:15:57	39114/39114	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:41:11%20GMT	https://data.themeim.com/html/tutorgo/checkout.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/checkout.html	(from https://data.themeim.com/html/tutorgo/)
10:15:58	28398/28398	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:44:58%20GMT	https://data.themeim.com/html/tutorgo/event.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/event.html	(from https://data.themeim.com/html/tutorgo/)
10:15:58	24333/24333	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:45:10%20GMT	https://data.themeim.com/html/tutorgo/event-details.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/event-details.html	(from https://data.themeim.com/html/tutorgo/)
10:15:58	25038/25038	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:44:06%20GMT	https://data.themeim.com/html/tutorgo/instructor.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/instructor.html	(from https://data.themeim.com/html/tutorgo/)
10:15:59	27203/27203	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:44:32%20GMT	https://data.themeim.com/html/tutorgo/instructor-2.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/instructor-2.html	(from https://data.themeim.com/html/tutorgo/)
10:15:59	31673/31673	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:44:18%20GMT	https://data.themeim.com/html/tutorgo/instructor-details.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/instructor-details.html	(from https://data.themeim.com/html/tutorgo/)
10:15:59	20125/20125	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:43:36%20GMT	https://data.themeim.com/html/tutorgo/wishlist.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/wishlist.html	(from https://data.themeim.com/html/tutorgo/)
10:15:59	20236/20236	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:43:56%20GMT	https://data.themeim.com/html/tutorgo/sign-in.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/sign-in.html	(from https://data.themeim.com/html/tutorgo/)
10:16:00	24261/24261	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:43:46%20GMT	https://data.themeim.com/html/tutorgo/sign-up.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/sign-up.html	(from https://data.themeim.com/html/tutorgo/)
10:16:00	27125/27125	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Jun%202023%2010:44:46%20GMT	https://data.themeim.com/html/tutorgo/faq.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/faq.html	(from https://data.themeim.com/html/tutorgo/)
10:16:00	17756/17756	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2021:51:06%20GMT	https://data.themeim.com/html/tutorgo/404.html	C:/My%20Web%20Sites/terr/data.themeim.com/html/tutorgo/404.html	(from https://data.themeim.com/html/tutorgo/)
